year,raceId,boatType,classId,place,value
2014,ADK90,Canoe,oc4,4,17369
2005,ADK90,Kayak,k1unlimitedmaster,2,17375
2017,ADK90,Canoe,oc4mix,2,17375
2010,ADK90,Canoe,oc2am,4,17386
2004,ADK90,Kayak,k1tourveteran,1,17392
2013,ADK90,Kayak,k1tour,1,17396
2009,ADK90,Canoe,oc2stock,1,17398
2013,ADK90,Canoe,oc2am,1,17406
2003,ADK90,Canoe,oc2ammaster,5,17407
2010,ADK90,Canoe,oc2ammaster,1,17407
2013,ADK90,Canoe,oc2stock,1,17412
2010,ADK90,Canoe,voyageur,5,17419
2011,ADK90,Canoe,oc2stockmixmaster,1,17422
2011,ADK90,Canoe,oc2stock,1,17429
2004,ADK90,Canoe,oc2stdmaster,4,17429
2009,ADK90,Kayak,k1tourveteran,1,17435
2021,ADK90,Canoe,oc4mix,2,17442
2009,ADK90,Canoe,oc2ammaster,2,17445
2008,ADK90,Kayak,k1unlimited,4,17446
2014,ADK90,Kayak,k1tourmaster,1,17449
2012,ADK90,Canoe,oc4mix,4,17451
2014,ADK90,Canoe,oc4mix,4,17454
2017,ADK90,Kayak,k1tour,1,17455
2019,ADK90,Kayak,k2,2,17455
2017,ADK90,Canoe,oc2amwomen,1,17460
2008,ADK90,Kayak,k1women,2,17460
2018,ADK90,Canoe,oc4stock,1,17464
2010,ADK90,Canoe,oc2am,2,17469
2023,ADK90,Canoe,oc4mix,6,17470.7
2004,ADK90,Canoe,voyageur,7,17471
2011,ADK90,Canoe,oc2am,4,17473
2011,ADK90,Canoe,oc2ammix,2,17474
2023,ADK90,Kayak,k2,2,17474.8
2011,ADK90,Canoe,oc4mix,12,17477
2014,ADK90,Canoe,oc4mix,5,17478
2001,ADK90,Canoe,oc2racmaster,5,17479
2008,ADK90,Canoe,oc2family,1,17482
2003,ADK90,Canoe,oc2ammaster,6,17484
2023,ADK90,Canoe,oc4stockwomen,1,17484
2013,ADK90,Kayak,k1tourveteran,1,17486
2012,ADK90,Kayak,k1tour,1,17487
2006,ADK90,Canoe,oc2am,7,17488
2006,ADK90,Canoe,oc2ammix,3,17494
2007,ADK90,Kayak,k2,2,17501
2023,ADK90,Kayak,k1unlimited,2,17502.5
2006,ADK90,Canoe,oc2am,6,17504
2008,ADK90,Canoe,oc4mix,2,17506
2006,ADK90,Kayak,k1tourmaster,2,17507
2013,ADK90,Canoe,oc4mix,10,17509
2009,ADK90,Canoe,oc4,3,17511
2011,ADK90,Kayak,k1tour,1,17514
2019,ADK90,Canoe,oc4stock,2,17515
2011,ADK90,Canoe,oc2stockmaster,1,17515
2025,ADK90,Kayak,k1open,1,17515.8
2001,ADK90,Canoe,oc2rac,5,17516
2000,ADK90,Canoe,oc2racmaster,5,17524
2011,ADK90,Canoe,open,NA,17538
2010,ADK90,Canoe,voyageur,6,17539
2012,ADK90,Kayak,k2,1,17539
2005,ADK90,Canoe,oc2stock,1,17540
2008,ADK90,Canoe,oc4mix,4,17552
2016,ADK90,Kayak,k1tourmaster,2,17553
2006,ADK90,Canoe,oc2stockmaster,2,17554
2004,ADK90,Canoe,oc1ammaster,3,17557
2008,ADK90,Kayak,k1tour,1,17562
2021,ADK90,Kayak,k1tourveteran,1,17570
2006,ADK90,Canoe,oc2stockmaster,1,17574
2003,ADK90,Kayak,k2,2,17591
2006,ADK90,Kayak,k1tourveteran,1,17593
2006,ADK90,Canoe,oc2stockmixmaster,1,17595
2005,ADK90,Canoe,oc2ammix,2,17596
2011,ADK90,Kayak,k1unlimited,1,17596
