year,raceId,boatType,classId,place,value,temp,rain,water
2025,ADK90,Canoe,oc2stock,9,22058,60.5,0.134,3.08
2010,ADK90,Canoe,oc2family,1,22060,58.4,0,3.89
2021,ADK90,Guideboat,g2,5,22060,60,0,5.13
2009,ADK90,Canoe,open,NA,22061,60,0.185,4.03
2019,ADK90,Unknown,open,31,22061,59.3,0.008,4.97
2017,ADK90,Guideboat,g2,4,22062,52.8,0.02,5.46
2015,ADK90,Canoe,oc1recveteran,1,22062,63,0.185,2.75
2019,ADK90,Unknown,open,45,22063,59.3,0.008,4.97
2021,ADK90,Canoe,oc2stockwomen,2,22072,60,0,5.13
2008,ADK90,Canoe,oc2stockmaster,10,22073,70.2,0.323,4.58
2008,ADK90,Canoe,open,NA,22074,70.2,0.323,4.58
2013,ADK90,Canoe,open,NA,22075,57.4,0.047,4.6
2011,ADK90,Canoe,oc2stockmixveteran,3,22075,62.9,0,7.28
2025,ADK90,Guideboat,g1,1,22077.5,60.5,0.134,3.08
2019,ADK90,Canoe,oc2stockveteran,5,22079,59.3,0.008,4.97
2011,ADK90,Canoe,open,NA,22082,62.9,0,7.28
2013,ADK90,Canoe,oc1recwomen,2,22089,57.4,0.047,4.6
2015,ADK90,Canoe,open,NA,22090,63,0.185,2.75
2025,ADK90,Canoe,oc4stockmix,11,22090.6,60.5,0.134,3.08
2019,ADK90,Canoe,oc4stock,8,22094,59.3,0.008,4.97
2017,ADK90,Canoe,open,NA,22095,52.8,0.02,5.46
2008,ADK90,Canoe,oc1stock,6,22097,70.2,0.323,4.58
2018,ADK90,Unknown,voyageur,4,22104,58.7,0,2.76
2013,ADK90,Guideboat,g2mix,1,22105,57.4,0.047,4.6
2013,ADK90,Canoe,open,NA,22112,57.4,0.047,4.6
2019,ADK90,Unknown,open,40,22120,59.3,0.008,4.97
2008,ADK90,Canoe,oc2stockmixmaster,5,22121,70.2,0.323,4.58
2022,ADK90,Canoe,oc1stockveteran,2,22125.8,67.5,0,3.91
2014,ADK90,Canoe,oc1stockveteran,2,22126,68.9,0.067,4.01
2015,ADK90,Canoe,open,NA,22126,63,0.185,2.75
2017,ADK90,Canoe,open,NA,22128,52.8,0.02,5.46
2014,ADK90,Canoe,oc2am,2,22128,68.9,0.067,4.01
2025,ADK90,Guideboat,g2,1,22129.6,60.5,0.134,3.08
2012,ADK90,Canoe,open,NA,22132,69.1,0.516,4.29
2015,ADK90,Canoe,open,NA,22133,63,0.185,2.75
2019,ADK90,Canoe,oc2recmix,1,22134,59.3,0.008,4.97
2012,ADK90,Canoe,oc2rec,4,22139,69.1,0.516,4.29
2018,ADK90,Guideboat,g1,1,22141,58.7,0,2.76
2009,ADK90,Canoe,oc2ammix,7,22142,60,0.185,4.03
2023,ADK90,Canoe,oc1stocknc,1,22142.3,65.2,0,5
2025,ADK90,Canoe,oc2stockmixveteran,5,22146.6,60.5,0.134,3.08
2013,ADK90,Canoe,oc1rec,5,22147,57.4,0.047,4.6
2017,ADK90,Canoe,oc1stockveteran,1,22149,52.8,0.02,5.46
2017,ADK90,Canoe,oc1rec,2,22151,52.8,0.02,5.46
2010,ADK90,Canoe,open,NA,22152,58.4,0,3.89
2021,ADK90,Canoe,oc4stock,9,22152,60,0,5.13
2015,ADK90,Canoe,oc2rec,4,22154,63,0.185,2.75
2022,ADK90,Canoe,oc2recjrsr,2,22155.7,67.5,0,3.91
2018,ADK90,Canoe,oc2stockmix,2,22156,58.7,0,2.76
2015,ADK90,Canoe,open,NA,22157,63,0.185,2.75
2017,ADK90,Canoe,open,NA,22157,52.8,0.02,5.46
2013,ADK90,Canoe,open,NA,22158,57.4,0.047,4.6
2011,ADK90,Canoe,open,NA,22161,62.9,0,7.28
2011,ADK90,Canoe,open,NA,22161,62.9,0,7.28
2025,ADK90,Guideboat,g2mixmaster,1,22166.9,60.5,0.134,3.08
2015,ADK90,Canoe,open,NA,22167,63,0.185,2.75
2018,ADK90,Canoe,oc4stockwomen,2,22172,58.7,0,2.76
2010,ADK90,Canoe,oc2stockmixmaster,8,22174,58.4,0,3.89
2022,ADK90,Canoe,oc2recjrsr,1,22175.4,67.5,0,3.91
2013,ADK90,Guideboat,g1,3,22177,57.4,0.047,4.6
2010,ADK90,Canoe,oc1recwomen,1,22180,58.4,0,3.89
2012,ADK90,Canoe,oc2stockmixmaster,8,22188,69.1,0.516,4.29
2025,ADK90,Canoe,oc1open,2,22188.5,60.5,0.134,3.08
2022,ADK90,Canoe,oc2stocktour,3,22188.6,67.5,0,3.91
2019,ADK90,Canoe,oc2recwomen,1,22192,59.3,0.008,4.97
2021,ADK90,Unknown,open,9,22195,60,0,5.13
2017,ADK90,Canoe,oc1recwomen,1,22199,52.8,0.02,5.46
2024,ADK90,Canoe,oc4stockmaster,8,22199.7,59.6,0.768,4.26
2017,ADK90,Canoe,open,NA,22201,52.8,0.02,5.46
2019,ADK90,Unknown,open,42,22206,59.3,0.008,4.97
2016,ADK90,Canoe,open,NA,22208,69.6,0.004,3.19
2016,ADK90,Canoe,open,NA,22208,69.6,0.004,3.19
2010,ADK90,Canoe,open,NA,22209,58.4,0,3.89
2021,ADK90,Canoe,oc2rec,2,22211,60,0,5.13
2013,ADK90,Canoe,open,NA,22211,57.4,0.047,4.6
2018,ADK90,Canoe,open,NA,22212,58.7,0,2.76
2025,ADK90,Canoe,oc2stocktour,1,22218,60.5,0.134,3.08
2013,ADK90,Canoe,open,NA,22218,57.4,0.047,4.6
2011,ADK90,Canoe,open,NA,22220,62.9,0,7.28
2025,ADK90,Canoe,oc2stocktour,1,22221,60.5,0.134,3.08
2014,ADK90,Canoe,open,NA,22224,68.9,0.067,4.01
2015,ADK90,Canoe,open,NA,22224,63,0.185,2.75
2013,ADK90,Canoe,open,NA,22227,57.4,0.047,4.6
2008,ADK90,Canoe,oc4mix,13,22228,70.2,0.323,4.58
2019,ADK90,Unknown,open,35,22230,59.3,0.008,4.97
2019,ADK90,Unknown,open,38,22230,59.3,0.008,4.97
2021,ADK90,Canoe,oc1stock,1,22231,60,0,5.13
2014,ADK90,Canoe,open,NA,22232,68.9,0.067,4.01
2017,ADK90,Kayak,k1tour,5,22232,52.8,0.02,5.46
2021,ADK90,Canoe,oc2stockmaster,5,22234,60,0,5.13
